,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[1050, 185, 314, 463]",0.08,0.0,0.08,0.04,0.08,0.0,0.71,,,,,,,,,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
1,"[1051, 185, 314, 459]",0.11,0.0,0.06,0.04,0.11,0.0,0.67,,,,,,,,,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
2,"[1048, 186, 314, 460]",0.06,0.0,0.06,0.03,0.06,0.0,0.78,,,,,,,,,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
3,"[1054, 189, 308, 452]",0.25,0.0,0.14,0.02,0.18,0.0,0.41,,,,,,,,,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
4,"[1033, 203, 331, 459]",0.05,0.0,0.05,0.03,0.07,0.0,0.8,"[1139, 975, 59, 71]",0.04,0.0,0.31,0.02,0.58,0.0,0.05,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
5,"[1036, 212, 320, 459]",0.07,0.0,0.04,0.07,0.08,0.0,0.75,,,,,,,,,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
6,"[1031, 214, 318, 462]",0.1,0.0,0.04,0.06,0.09,0.0,0.71,,,,,,,,,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
7,"[1031, 220, 308, 451]",0.08,0.0,0.04,0.04,0.09,0.0,0.75,,,,,,,,,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
8,"[1025, 214, 311, 455]",0.18,0.0,0.1,0.05,0.15,0.0,0.52,"[1139, 975, 59, 71]",0.04,0.0,0.32,0.03,0.57,0.0,0.05,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
9,"[1029, 210, 310, 464]",0.24,0.0,0.12,0.11,0.18,0.01,0.35,"[1139, 975, 59, 71]",0.04,0.0,0.32,0.03,0.57,0.0,0.05,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
10,"[1031, 214, 310, 460]",0.15,0.0,0.08,0.08,0.09,0.01,0.58,"[1139, 975, 59, 71]",0.04,0.0,0.32,0.03,0.57,0.0,0.05,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
11,"[1032, 217, 309, 459]",0.13,0.0,0.11,0.04,0.08,0.03,0.61,"[1139, 975, 59, 71]",0.04,0.0,0.32,0.03,0.57,0.0,0.05,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
12,"[1029, 213, 309, 465]",0.11,0.0,0.16,0.02,0.08,0.05,0.59,,,,,,,,,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
13,"[1014, 213, 313, 454]",0.14,0.0,0.11,0.09,0.11,0.03,0.52,,,,,,,,,video_0224,113,3,50,37,29.965359347003783,3.771021021021021,2025-01-29T20:16:31.093073
