,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[446, 87, 232, 320]",0.33,0.0,0.03,0.36,0.16,0.02,0.1,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
1,"[449, 92, 217, 308]",0.52,0.01,0.02,0.25,0.12,0.02,0.07,"[467, 481, 42, 50]",0.27,0.0,0.04,0.01,0.01,0.01,0.66,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
2,"[447, 97, 226, 318]",0.45,0.0,0.03,0.21,0.18,0.02,0.11,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
3,"[455, 98, 226, 310]",0.32,0.0,0.04,0.23,0.26,0.02,0.12,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
4,"[447, 85, 224, 317]",0.45,0.0,0.02,0.19,0.18,0.02,0.14,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
5,"[453, 98, 217, 309]",0.31,0.0,0.03,0.28,0.18,0.05,0.15,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
6,"[459, 107, 216, 291]",0.37,0.0,0.03,0.14,0.3,0.02,0.14,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
7,"[452, 97, 228, 309]",0.33,0.0,0.04,0.25,0.2,0.04,0.14,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
8,"[465, 106, 210, 285]",0.35,0.0,0.04,0.11,0.23,0.07,0.2,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
9,"[448, 72, 234, 335]",0.2,0.0,0.05,0.07,0.42,0.06,0.2,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
10,"[449, 84, 239, 325]",0.23,0.0,0.06,0.07,0.33,0.12,0.19,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
11,"[460, 101, 215, 287]",0.3,0.0,0.05,0.06,0.25,0.1,0.24,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
12,"[446, 72, 241, 330]",0.23,0.0,0.04,0.07,0.24,0.19,0.22,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
13,"[455, 98, 216, 286]",0.36,0.0,0.04,0.11,0.12,0.18,0.19,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
14,"[454, 92, 217, 289]",0.44,0.0,0.05,0.07,0.21,0.12,0.11,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
15,"[448, 86, 224, 303]",0.32,0.0,0.04,0.06,0.24,0.17,0.17,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
16,"[452, 92, 218, 296]",0.35,0.0,0.03,0.09,0.31,0.07,0.15,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
17,"[452, 76, 236, 324]",0.19,0.0,0.05,0.06,0.49,0.04,0.17,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
18,"[438, 62, 239, 342]",0.24,0.0,0.05,0.06,0.45,0.06,0.13,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
19,"[445, 73, 230, 333]",0.22,0.0,0.05,0.08,0.43,0.09,0.13,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
20,"[454, 74, 236, 326]",0.46,0.0,0.04,0.14,0.18,0.09,0.09,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
21,"[491, 99, 215, 279]",0.62,0.0,0.04,0.02,0.08,0.21,0.02,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
22,"[505, 86, 237, 298]",0.48,0.0,0.17,0.02,0.09,0.2,0.03,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
23,"[503, 57, 265, 341]",0.54,0.0,0.19,0.01,0.15,0.11,0.02,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
24,"[506, 52, 265, 342]",0.43,0.0,0.18,0.03,0.22,0.11,0.03,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
25,"[524, 67, 234, 297]",0.09,0.0,0.01,0.49,0.1,0.04,0.27,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
26,"[523, 77, 237, 294]",0.17,0.0,0.04,0.06,0.22,0.05,0.47,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
27,"[523, 90, 229, 286]",0.34,0.0,0.09,0.03,0.23,0.14,0.17,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
28,"[520, 91, 242, 311]",0.29,0.0,0.08,0.03,0.14,0.42,0.04,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
29,"[513, 93, 244, 311]",0.25,0.0,0.09,0.08,0.17,0.36,0.04,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
30,"[510, 106, 231, 282]",0.19,0.0,0.06,0.06,0.19,0.03,0.46,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
31,"[497, 102, 241, 301]",0.15,0.0,0.05,0.23,0.25,0.18,0.14,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
32,"[495, 99, 251, 311]",0.09,0.0,0.02,0.54,0.09,0.07,0.19,,,,,,,,,video_0439,72,2,50,36,25.0,2.88,2025-01-29T20:29:35.233915
