,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[409, 115, 205, 273]",0.76,0.01,0.03,0.0,0.16,0.0,0.02,"[753, 359, 94, 114]",0.19,0.02,0.07,0.31,0.28,0.07,0.04,,,,,,,,,video_0883,88,2,50,44,25.0,3.52,2025-01-29T20:56:27.939560
1,"[408, 115, 206, 274]",0.85,0.01,0.03,0.0,0.09,0.0,0.01,"[759, 357, 89, 106]",0.2,0.02,0.05,0.25,0.37,0.02,0.09,,,,,,,,,video_0883,88,2,50,44,25.0,3.52,2025-01-29T20:56:27.939560
2,"[421, 125, 195, 260]",0.67,0.02,0.03,0.0,0.26,0.0,0.02,"[751, 346, 102, 126]",0.1,0.0,0.17,0.25,0.42,0.0,0.06,,,,,,,,,video_0883,88,2,50,44,25.0,3.52,2025-01-29T20:56:27.939560
3,"[423, 126, 199, 263]",0.57,0.02,0.05,0.0,0.35,0.0,0.01,,,,,,,,,,,,,,,,,video_0883,88,2,50,44,25.0,3.52,2025-01-29T20:56:27.939560
4,"[419, 126, 205, 273]",0.6,0.03,0.07,0.0,0.29,0.01,0.01,,,,,,,,,,,,,,,,,video_0883,88,2,50,44,25.0,3.52,2025-01-29T20:56:27.939560
5,"[428, 131, 203, 268]",0.78,0.03,0.05,0.0,0.12,0.03,0.0,"[760, 361, 85, 99]",0.08,0.0,0.05,0.56,0.26,0.03,0.02,,,,,,,,,video_0883,88,2,50,44,25.0,3.52,2025-01-29T20:56:27.939560
6,"[432, 131, 206, 274]",0.81,0.01,0.05,0.0,0.1,0.02,0.0,"[758, 358, 89, 104]",0.16,0.01,0.03,0.21,0.5,0.02,0.07,"[-17, 452, 65, 80]",0.15,0.0,0.08,0.31,0.27,0.01,0.18,video_0883,88,2,50,44,25.0,3.52,2025-01-29T20:56:27.939560
7,"[434, 132, 206, 274]",0.8,0.01,0.06,0.0,0.1,0.02,0.01,"[720, 336, 128, 148]",0.21,0.0,0.16,0.07,0.52,0.02,0.02,"[-18, 450, 68, 83]",0.2,0.0,0.07,0.28,0.26,0.01,0.17,video_0883,88,2,50,44,25.0,3.52,2025-01-29T20:56:27.939560
8,"[441, 136, 204, 270]",0.8,0.01,0.06,0.0,0.1,0.03,0.01,"[732, 344, 116, 137]",0.27,0.01,0.09,0.2,0.37,0.03,0.05,"[-17, 450, 67, 83]",0.16,0.0,0.07,0.31,0.26,0.01,0.19,video_0883,88,2,50,44,25.0,3.52,2025-01-29T20:56:27.939560
9,"[440, 142, 203, 266]",0.71,0.01,0.09,0.0,0.12,0.06,0.0,"[732, 344, 116, 138]",0.32,0.01,0.1,0.2,0.31,0.03,0.04,"[-18, 450, 66, 82]",0.17,0.0,0.09,0.32,0.22,0.01,0.19,video_0883,88,2,50,44,25.0,3.52,2025-01-29T20:56:27.939560
