,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[309, 133, 202, 276]",0.25,0.0,0.11,0.27,0.29,0.03,0.05,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
1,"[317, 154, 187, 261]",0.27,0.0,0.14,0.06,0.32,0.04,0.16,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
2,"[328, 157, 192, 264]",0.17,0.0,0.11,0.09,0.48,0.02,0.14,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
3,"[352, 138, 192, 278]",0.27,0.0,0.08,0.06,0.3,0.02,0.27,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
4,"[355, 137, 191, 279]",0.24,0.0,0.07,0.07,0.3,0.01,0.31,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
5,"[343, 134, 185, 261]",0.11,0.0,0.08,0.06,0.46,0.03,0.26,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
6,"[338, 118, 179, 264]",0.17,0.0,0.12,0.06,0.44,0.06,0.14,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
7,"[330, 105, 187, 276]",0.2,0.0,0.07,0.09,0.43,0.04,0.17,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
8,"[336, 108, 180, 268]",0.18,0.0,0.09,0.04,0.47,0.03,0.17,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
9,"[334, 109, 183, 273]",0.1,0.0,0.12,0.09,0.46,0.02,0.21,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
10,"[334, 114, 182, 262]",0.1,0.0,0.09,0.09,0.35,0.07,0.3,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
11,"[334, 108, 180, 259]",0.11,0.0,0.09,0.05,0.55,0.03,0.17,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
12,"[297, 48, 220, 326]",0.17,0.0,0.12,0.07,0.31,0.02,0.33,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
13,"[314, 77, 200, 281]",0.15,0.0,0.12,0.09,0.42,0.03,0.19,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
14,"[311, 76, 197, 284]",0.16,0.0,0.17,0.07,0.23,0.04,0.34,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
15,"[315, 73, 179, 278]",0.26,0.0,0.13,0.08,0.33,0.03,0.17,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
16,"[307, 79, 184, 269]",0.24,0.0,0.1,0.06,0.41,0.03,0.16,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
17,"[307, 91, 185, 259]",0.11,0.0,0.09,0.04,0.68,0.01,0.07,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
18,"[295, 83, 186, 255]",0.17,0.0,0.11,0.07,0.45,0.06,0.14,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
19,"[296, 57, 171, 241]",0.34,0.0,0.11,0.24,0.18,0.03,0.11,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
20,"[296, 53, 166, 235]",0.43,0.0,0.11,0.11,0.22,0.03,0.1,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
21,"[294, 114, 194, 271]",0.22,0.0,0.26,0.02,0.37,0.04,0.09,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
22,"[275, 146, 207, 280]",0.16,0.0,0.19,0.15,0.37,0.04,0.09,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
23,"[271, 185, 204, 255]",0.08,0.0,0.17,0.12,0.47,0.01,0.15,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
24,"[270, 193, 211, 266]",0.07,0.0,0.14,0.05,0.57,0.0,0.16,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
25,"[273, 197, 207, 257]",0.07,0.0,0.09,0.14,0.58,0.0,0.12,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
26,"[282, 199, 200, 248]",0.04,0.0,0.1,0.09,0.63,0.0,0.15,video_0794,132,3,50,44,25.0,5.28,2025-01-29T20:50:53.278345
