,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[552, 117, 138, 177]",0.04,0.0,0.01,0.01,0.03,0.0,0.92,"[828, 290, 60, 68]",0.33,0.0,0.29,0.05,0.23,0.01,0.09,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
1,"[552, 118, 137, 175]",0.09,0.0,0.01,0.01,0.03,0.0,0.85,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
2,"[557, 117, 137, 175]",0.06,0.0,0.01,0.01,0.08,0.0,0.84,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
3,"[554, 121, 137, 172]",0.15,0.0,0.0,0.0,0.05,0.0,0.78,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
4,"[549, 120, 135, 168]",0.06,0.0,0.01,0.01,0.1,0.0,0.82,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
5,"[538, 102, 153, 194]",0.06,0.0,0.03,0.03,0.61,0.0,0.26,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
6,"[522, 119, 149, 183]",0.08,0.0,0.21,0.01,0.37,0.01,0.33,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
7,"[517, 121, 142, 174]",0.08,0.0,0.15,0.01,0.17,0.01,0.57,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
8,"[506, 108, 146, 184]",0.02,0.0,0.02,0.18,0.05,0.01,0.72,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
9,"[502, 101, 148, 186]",0.01,0.0,0.02,0.5,0.05,0.01,0.4,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
10,"[502, 100, 148, 183]",0.02,0.0,0.02,0.45,0.05,0.01,0.45,"[825, 289, 59, 68]",0.44,0.0,0.23,0.07,0.18,0.01,0.07,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
11,"[501, 99, 145, 183]",0.02,0.0,0.01,0.76,0.01,0.01,0.2,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
12,"[504, 100, 143, 179]",0.03,0.02,0.01,0.42,0.02,0.02,0.46,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
13,"[504, 98, 145, 182]",0.04,0.02,0.02,0.49,0.02,0.03,0.39,"[825, 290, 60, 68]",0.37,0.0,0.3,0.07,0.16,0.01,0.1,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
14,"[499, 89, 150, 191]",0.03,0.01,0.03,0.59,0.08,0.02,0.24,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
15,"[517, 105, 135, 170]",0.04,0.15,0.02,0.3,0.01,0.02,0.45,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
16,"[499, 96, 146, 183]",0.02,0.01,0.01,0.63,0.02,0.0,0.3,"[824, 290, 58, 68]",0.36,0.0,0.29,0.05,0.2,0.01,0.1,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
17,"[511, 102, 139, 178]",0.05,0.08,0.02,0.22,0.02,0.01,0.6,"[823, 289, 58, 68]",0.41,0.0,0.23,0.05,0.19,0.01,0.1,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
18,"[500, 92, 147, 184]",0.12,0.03,0.02,0.23,0.12,0.0,0.48,"[824, 290, 57, 66]",0.34,0.0,0.26,0.08,0.21,0.01,0.1,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
19,"[517, 104, 136, 169]",0.07,0.55,0.03,0.02,0.02,0.01,0.31,"[786, 193, 62, 72]",0.04,0.0,0.04,0.8,0.03,0.02,0.08,"[823, 289, 57, 66]",0.3,0.0,0.34,0.06,0.2,0.01,0.08,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
20,"[523, 102, 134, 168]",0.07,0.33,0.01,0.0,0.02,0.0,0.56,"[822, 288, 58, 68]",0.32,0.0,0.31,0.05,0.2,0.02,0.1,"[487, 113, 32, 42]",0.27,0.0,0.1,0.25,0.28,0.03,0.06,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
21,"[507, 86, 151, 196]",0.07,0.01,0.02,0.04,0.16,0.01,0.7,"[823, 289, 58, 68]",0.38,0.0,0.29,0.05,0.2,0.01,0.07,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
22,"[508, 83, 154, 203]",0.08,0.07,0.04,0.09,0.3,0.1,0.32,"[822, 289, 58, 68]",0.4,0.0,0.27,0.05,0.19,0.01,0.08,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
23,"[510, 91, 150, 196]",0.06,0.05,0.01,0.47,0.04,0.29,0.08,"[822, 289, 58, 68]",0.44,0.0,0.25,0.04,0.16,0.01,0.08,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
24,"[501, 84, 156, 202]",0.01,0.0,0.01,0.78,0.06,0.01,0.12,"[786, 193, 63, 75]",0.03,0.0,0.03,0.87,0.02,0.01,0.04,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
25,"[518, 98, 141, 176]",0.04,0.1,0.02,0.08,0.02,0.01,0.75,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
26,"[501, 86, 155, 195]",0.02,0.0,0.01,0.7,0.03,0.02,0.23,,,,,,,,,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
27,"[514, 101, 140, 178]",0.02,0.02,0.01,0.2,0.02,0.0,0.72,"[489, 114, 32, 40]",0.31,0.0,0.1,0.13,0.38,0.02,0.05,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
28,"[517, 107, 146, 186]",0.09,0.0,0.02,0.17,0.12,0.02,0.57,"[821, 288, 56, 67]",0.51,0.0,0.25,0.03,0.14,0.02,0.05,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
29,"[785, 193, 62, 74]",0.03,0.0,0.03,0.88,0.02,0.01,0.04,"[821, 288, 57, 67]",0.49,0.0,0.25,0.03,0.16,0.02,0.05,,,,,,,,,video_0048,65,2,50,32,24.0,2.7083333333333335,2025-01-29T20:05:38.107328
