,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[725, 120, 154, 187]",0.53,0.0,0.06,0.0,0.31,0.01,0.08,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
1,"[719, 111, 160, 193]",0.32,0.0,0.08,0.01,0.5,0.01,0.09,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
2,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.3,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
3,"[588, 628, 29, 33]",0.1,0.0,0.35,0.07,0.3,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
4,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
5,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
6,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
7,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
8,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
9,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
10,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
11,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
12,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
13,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
14,"[588, 628, 29, 33]",0.1,0.0,0.36,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
15,"[588, 628, 29, 33]",0.1,0.0,0.37,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
16,"[588, 628, 29, 33]",0.1,0.0,0.37,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
17,"[588, 628, 29, 33]",0.1,0.0,0.37,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
18,"[588, 628, 29, 33]",0.1,0.0,0.37,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
19,"[588, 628, 29, 33]",0.1,0.0,0.37,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
20,"[588, 628, 29, 33]",0.1,0.0,0.37,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
21,"[588, 628, 29, 33]",0.1,0.0,0.37,0.07,0.29,0.01,0.17,video_0706,105,3,50,35,29.97002997002997,3.5035000000000003,2025-01-29T20:45:16.730701
