,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[521, -173, 368, 543]",0.07,0.0,0.31,0.01,0.54,0.02,0.05,"[455, 673, 27, 33]",0.06,0.0,0.19,0.02,0.41,0.0,0.32,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
1,"[500, -206, 374, 556]",0.03,0.0,0.44,0.01,0.2,0.3,0.02,"[94, 265, 336, 452]",0.14,0.0,0.11,0.01,0.67,0.0,0.06,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
2,"[563, -221, 380, 566]",0.01,0.0,0.13,0.02,0.09,0.72,0.03,"[304, 252, 257, 324]",0.13,0.0,0.08,0.25,0.36,0.01,0.17,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
3,"[598, -187, 360, 540]",0.0,0.0,0.02,0.0,0.0,0.97,0.0,"[152, 330, 50, 66]",0.03,0.0,0.04,0.02,0.79,0.01,0.11,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
4,"[588, -176, 375, 536]",0.02,0.0,0.22,0.01,0.06,0.64,0.05,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
5,"[572, -236, 373, 560]",0.0,0.0,0.02,0.01,0.02,0.92,0.02,"[243, 364, 50, 60]",0.21,0.04,0.06,0.01,0.47,0.01,0.2,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
6,"[605, -82, 309, 416]",0.02,0.0,0.07,0.01,0.07,0.72,0.11,"[575, 630, 95, 130]",0.15,0.0,0.26,0.26,0.3,0.01,0.02,"[267, 385, 42, 55]",0.12,0.03,0.08,0.03,0.63,0.01,0.1,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
7,"[580, -204, 369, 556]",0.01,0.0,0.18,0.0,0.03,0.78,0.0,"[321, 397, 42, 58]",0.11,0.0,0.09,0.05,0.48,0.0,0.27,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
8,"[611, -175, 369, 557]",0.01,0.0,0.08,0.05,0.08,0.74,0.03,"[329, 399, 40, 57]",0.02,0.0,0.07,0.05,0.72,0.0,0.14,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
9,"[624, -127, 359, 521]",0.02,0.0,0.16,0.01,0.05,0.72,0.04,"[317, 400, 49, 61]",0.02,0.0,0.02,0.0,0.79,0.0,0.17,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
10,"[619, -148, 357, 534]",0.03,0.0,0.12,0.02,0.55,0.08,0.19,"[299, 399, 43, 60]",0.03,0.0,0.07,0.02,0.74,0.01,0.12,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
11,"[614, -150, 371, 559]",0.04,0.0,0.05,0.04,0.33,0.27,0.27,"[280, 395, 43, 60]",0.02,0.01,0.05,0.02,0.72,0.06,0.13,"[293, 399, 43, 58]",0.03,0.0,0.08,0.04,0.69,0.01,0.16,"[270, 154, 26, 32]",0.05,0.0,0.15,0.11,0.48,0.01,0.19,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
12,"[621, -113, 368, 534]",0.05,0.0,0.04,0.09,0.17,0.13,0.51,"[288, 394, 39, 54]",0.07,0.0,0.1,0.1,0.54,0.0,0.2,"[269, 322, 27, 33]",0.41,0.0,0.23,0.06,0.24,0.0,0.06,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
13,"[630, -94, 353, 536]",0.07,0.0,0.08,0.02,0.22,0.4,0.2,"[288, 392, 34, 50]",0.05,0.01,0.07,0.18,0.52,0.01,0.16,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
14,"[646, -93, 356, 529]",0.01,0.0,0.02,0.03,0.26,0.04,0.64,"[286, 376, 40, 53]",0.03,0.0,0.06,0.05,0.53,0.06,0.26,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
15,"[633, -96, 351, 522]",0.01,0.0,0.01,0.03,0.14,0.02,0.79,"[271, 371, 39, 57]",0.02,0.0,0.07,0.04,0.65,0.01,0.21,"[251, 306, 31, 34]",0.33,0.0,0.36,0.08,0.18,0.01,0.04,"[250, 131, 24, 31]",0.12,0.0,0.22,0.03,0.39,0.01,0.24,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
