,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[1207, 196, 325, 417]",0.16,0.0,0.26,0.0,0.5,0.01,0.06,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
1,"[1176, 216, 347, 479]",0.23,0.0,0.15,0.01,0.55,0.0,0.06,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
2,"[1160, 201, 351, 457]",0.41,0.0,0.33,0.0,0.13,0.02,0.1,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
3,"[1191, 181, 329, 424]",0.21,0.0,0.32,0.0,0.24,0.01,0.23,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
4,"[1204, 186, 320, 419]",0.03,0.0,0.04,0.0,0.12,0.0,0.81,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
5,"[1170, 217, 326, 416]",0.17,0.0,0.07,0.0,0.17,0.0,0.58,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
6,"[1159, 206, 345, 448]",0.09,0.0,0.04,0.0,0.16,0.0,0.71,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
7,"[1145, 212, 355, 466]",0.19,0.0,0.07,0.0,0.36,0.01,0.37,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
8,"[1141, 212, 360, 483]",0.19,0.0,0.1,0.0,0.63,0.0,0.07,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
9,"[1147, 211, 351, 466]",0.1,0.0,0.08,0.0,0.65,0.0,0.16,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
10,"[1149, 209, 352, 466]",0.06,0.0,0.08,0.0,0.73,0.0,0.12,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
11,"[1146, 215, 353, 474]",0.07,0.0,0.06,0.0,0.64,0.0,0.22,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
12,"[1144, 213, 359, 478]",0.08,0.0,0.08,0.0,0.55,0.0,0.3,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
13,"[1146, 217, 358, 479]",0.06,0.0,0.05,0.0,0.64,0.0,0.25,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
14,"[1154, 230, 357, 461]",0.08,0.0,0.1,0.0,0.57,0.0,0.25,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
15,"[1162, 223, 348, 460]",0.08,0.0,0.14,0.0,0.55,0.0,0.23,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
16,"[1075, 244, 346, 475]",0.11,0.0,0.05,0.3,0.15,0.04,0.35,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
17,"[1117, 221, 355, 482]",0.09,0.0,0.03,0.44,0.32,0.0,0.11,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
18,"[1122, 258, 348, 473]",0.11,0.02,0.07,0.03,0.59,0.0,0.17,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
19,"[1120, 234, 355, 487]",0.3,0.02,0.12,0.19,0.35,0.01,0.02,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
20,"[1140, 212, 358, 498]",0.31,0.0,0.08,0.01,0.59,0.0,0.0,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
21,"[1147, 216, 359, 472]",0.13,0.0,0.15,0.0,0.71,0.0,0.01,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
22,"[1146, 212, 351, 482]",0.1,0.0,0.07,0.01,0.79,0.0,0.04,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
23,"[1149, 205, 345, 462]",0.31,0.0,0.16,0.0,0.52,0.0,0.01,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
24,"[1138, 208, 354, 467]",0.09,0.0,0.06,0.0,0.48,0.0,0.36,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
25,"[1139, 210, 350, 435]",0.06,0.0,0.03,0.0,0.07,0.0,0.84,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
26,"[1163, 215, 331, 438]",0.14,0.0,0.04,0.0,0.11,0.0,0.71,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
27,"[1142, 218, 346, 459]",0.05,0.0,0.02,0.0,0.81,0.0,0.12,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
28,"[1129, 233, 353, 492]",0.21,0.0,0.28,0.0,0.49,0.0,0.01,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
29,"[1126, 242, 356, 462]",0.08,0.0,0.06,0.0,0.74,0.0,0.11,video_0324,210,5,50,42,29.96571918297386,7.008008008008008,2025-01-29T20:22:15.970618
