,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[1455, 992, 40, 56]",0.11,0.0,0.06,0.06,0.48,0.03,0.26,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
1,"[877, 49, 390, 467]",0.07,0.06,0.05,0.18,0.22,0.01,0.42,"[1459, 992, 36, 53]",0.13,0.0,0.03,0.1,0.47,0.03,0.24,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
2,"[1456, 989, 45, 66]",0.09,0.0,0.05,0.18,0.56,0.0,0.11,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
3,"[877, 39, 391, 483]",0.18,0.11,0.03,0.47,0.07,0.01,0.14,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
4,"[872, 42, 388, 476]",0.09,0.02,0.02,0.57,0.07,0.01,0.22,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
5,"[871, 37, 392, 474]",0.02,0.0,0.01,0.18,0.04,0.0,0.74,"[1455, 995, 37, 55]",0.09,0.0,0.04,0.1,0.51,0.01,0.25,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
6,"[356, 862, 33, 42]",0.16,0.02,0.22,0.17,0.21,0.04,0.17,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
7,"[858, 25, 399, 502]",0.0,0.0,0.0,0.96,0.0,0.0,0.02,"[359, 859, 34, 42]",0.19,0.0,0.11,0.18,0.21,0.01,0.3,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
8,"[859, 21, 410, 512]",0.0,0.0,0.0,0.97,0.01,0.0,0.01,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
9,"[871, 14, 405, 527]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
10,"[872, 22, 385, 474]",0.01,0.0,0.02,0.48,0.06,0.02,0.41,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
11,"[868, 11, 436, 556]",0.02,0.0,0.0,0.96,0.02,0.0,0.01,"[874, 632, 240, 272]",0.03,0.0,0.02,0.75,0.15,0.02,0.03,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
12,"[868, 26, 413, 533]",0.03,0.0,0.0,0.91,0.03,0.0,0.02,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
13,"[856, -48, 444, 568]",0.09,0.0,0.04,0.32,0.42,0.02,0.11,"[894, 689, 59, 75]",0.33,0.0,0.06,0.13,0.42,0.02,0.03,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
14,"[876, -160, 543, 668]",0.23,0.0,0.08,0.37,0.19,0.01,0.13,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
15,"[1010, -38, 456, 525]",0.11,0.0,0.03,0.42,0.29,0.0,0.14,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
16,"[1105, -74, 507, 610]",0.16,0.0,0.0,0.73,0.06,0.0,0.04,,,,,,,,,video_0744,45,2,40,22,23.974401706552896,1.877002002002002,2025-01-29T20:47:48.178970
