,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[771, 21, 126, 176]",0.24,0.0,0.27,0.0,0.35,0.09,0.04,"[483, 58, 54, 72]",0.04,0.0,0.03,0.7,0.11,0.08,0.04,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
1,"[777, 32, 124, 172]",0.15,0.01,0.13,0.0,0.61,0.05,0.06,"[479, 65, 57, 73]",0.07,0.0,0.03,0.55,0.22,0.03,0.09,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
2,"[791, 49, 122, 176]",0.06,0.03,0.36,0.0,0.48,0.03,0.04,"[480, 88, 54, 72]",0.09,0.0,0.06,0.56,0.22,0.04,0.04,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
3,"[807, 83, 129, 163]",0.06,0.0,0.34,0.0,0.42,0.04,0.14,"[480, 113, 53, 70]",0.13,0.0,0.08,0.42,0.25,0.06,0.05,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
4,"[480, 126, 52, 70]",0.11,0.0,0.07,0.47,0.24,0.07,0.04,,,,,,,,,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
5,"[818, 106, 119, 157]",0.14,0.0,0.51,0.0,0.23,0.05,0.07,"[482, 145, 50, 66]",0.11,0.0,0.07,0.29,0.33,0.07,0.13,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
6,"[815, 118, 120, 158]",0.13,0.0,0.6,0.0,0.16,0.05,0.06,"[478, 153, 53, 69]",0.08,0.0,0.07,0.44,0.26,0.08,0.07,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
7,"[815, 113, 118, 160]",0.02,0.0,0.26,0.0,0.53,0.01,0.18,"[478, 156, 50, 70]",0.11,0.0,0.03,0.48,0.21,0.04,0.12,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
8,"[806, 110, 114, 156]",0.03,0.0,0.29,0.0,0.48,0.04,0.16,"[478, 166, 52, 69]",0.11,0.0,0.07,0.35,0.28,0.11,0.07,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
9,"[796, 125, 114, 150]",0.02,0.0,0.06,0.0,0.71,0.04,0.17,"[478, 174, 53, 67]",0.08,0.0,0.07,0.4,0.26,0.06,0.13,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
10,"[788, 120, 115, 156]",0.03,0.0,0.15,0.0,0.74,0.02,0.05,"[480, 176, 52, 69]",0.12,0.0,0.1,0.27,0.33,0.09,0.1,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
11,"[778, 126, 112, 152]",0.04,0.0,0.24,0.0,0.6,0.05,0.07,"[480, 178, 53, 70]",0.1,0.0,0.11,0.21,0.46,0.05,0.08,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
12,"[762, 126, 113, 155]",0.03,0.0,0.44,0.0,0.39,0.1,0.04,"[476, 181, 55, 71]",0.05,0.0,0.03,0.67,0.13,0.05,0.07,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
13,"[745, 125, 115, 158]",0.02,0.0,0.41,0.0,0.51,0.02,0.04,"[479, 186, 53, 68]",0.09,0.0,0.07,0.37,0.27,0.11,0.09,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
14,"[731, 129, 114, 153]",0.01,0.0,0.27,0.0,0.64,0.01,0.06,"[480, 186, 52, 69]",0.13,0.0,0.07,0.22,0.41,0.04,0.13,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
15,"[718, 134, 114, 153]",0.02,0.0,0.2,0.0,0.68,0.01,0.1,"[479, 187, 55, 72]",0.09,0.0,0.06,0.38,0.34,0.04,0.08,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
16,"[711, 124, 118, 157]",0.02,0.0,0.22,0.0,0.67,0.01,0.08,"[480, 190, 52, 69]",0.11,0.0,0.06,0.33,0.38,0.04,0.09,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
17,"[712, 131, 109, 150]",0.01,0.0,0.29,0.0,0.63,0.01,0.06,"[479, 191, 52, 69]",0.09,0.0,0.05,0.37,0.33,0.05,0.12,"[485, 456, 39, 49]",0.13,0.0,0.18,0.02,0.43,0.0,0.24,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
18,"[704, 129, 114, 145]",0.02,0.0,0.11,0.0,0.8,0.0,0.07,"[479, 190, 54, 70]",0.1,0.0,0.05,0.24,0.46,0.04,0.1,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
19,"[706, 122, 108, 142]",0.01,0.0,0.14,0.01,0.6,0.0,0.24,"[480, 189, 52, 70]",0.07,0.0,0.05,0.31,0.43,0.03,0.11,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
20,"[481, 191, 52, 67]",0.09,0.0,0.1,0.35,0.29,0.05,0.12,,,,,,,,,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
21,"[478, 188, 54, 70]",0.06,0.0,0.04,0.53,0.22,0.02,0.12,,,,,,,,,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
22,"[482, 190, 53, 68]",0.1,0.0,0.1,0.26,0.4,0.05,0.09,,,,,,,,,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
23,"[693, 126, 125, 162]",0.04,0.0,0.08,0.03,0.51,0.0,0.33,"[479, 188, 54, 71]",0.05,0.0,0.03,0.64,0.14,0.05,0.09,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
24,"[701, 142, 116, 150]",0.01,0.0,0.21,0.01,0.4,0.01,0.36,"[479, 187, 55, 70]",0.08,0.0,0.03,0.59,0.17,0.04,0.09,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
25,"[700, 137, 119, 160]",0.03,0.0,0.4,0.0,0.32,0.0,0.24,"[483, 186, 54, 71]",0.09,0.0,0.06,0.3,0.41,0.05,0.1,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
26,"[699, 130, 122, 167]",0.1,0.0,0.29,0.0,0.36,0.0,0.25,"[484, 189, 53, 67]",0.07,0.0,0.06,0.46,0.27,0.03,0.11,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
27,"[713, 144, 112, 146]",0.06,0.0,0.42,0.0,0.42,0.0,0.09,"[484, 189, 53, 67]",0.07,0.0,0.05,0.46,0.31,0.02,0.09,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
28,"[713, 145, 117, 151]",0.06,0.0,0.47,0.0,0.37,0.0,0.09,"[485, 186, 54, 68]",0.11,0.0,0.09,0.27,0.44,0.02,0.07,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
29,"[712, 143, 120, 157]",0.04,0.0,0.3,0.0,0.6,0.0,0.06,"[486, 185, 54, 69]",0.07,0.0,0.07,0.37,0.35,0.03,0.11,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
30,"[712, 145, 121, 156]",0.07,0.0,0.23,0.0,0.54,0.0,0.16,"[486, 183, 54, 69]",0.07,0.0,0.05,0.46,0.29,0.04,0.1,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
31,"[716, 144, 121, 154]",0.1,0.0,0.11,0.0,0.7,0.0,0.09,"[488, 180, 52, 68]",0.09,0.0,0.08,0.31,0.37,0.03,0.12,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
32,"[722, 143, 117, 147]",0.08,0.0,0.16,0.05,0.58,0.0,0.13,"[490, 180, 51, 66]",0.05,0.0,0.08,0.47,0.28,0.03,0.08,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
33,"[726, 134, 115, 145]",0.15,0.0,0.15,0.06,0.59,0.0,0.06,"[490, 176, 51, 67]",0.04,0.0,0.06,0.62,0.15,0.05,0.08,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
34,"[729, 127, 115, 143]",0.2,0.0,0.19,0.07,0.43,0.0,0.11,"[492, 172, 50, 68]",0.06,0.0,0.08,0.39,0.33,0.03,0.1,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
35,"[733, 117, 115, 144]",0.14,0.0,0.17,0.16,0.43,0.0,0.11,"[490, 170, 50, 67]",0.06,0.0,0.03,0.56,0.2,0.02,0.13,"[337, 365, 53, 63]",0.44,0.0,0.11,0.07,0.3,0.0,0.08,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
36,"[732, 109, 118, 148]",0.03,0.0,0.08,0.68,0.16,0.0,0.05,"[491, 170, 52, 69]",0.07,0.0,0.08,0.36,0.36,0.04,0.09,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
37,"[731, 103, 120, 155]",0.02,0.0,0.09,0.43,0.33,0.0,0.13,"[492, 173, 51, 67]",0.06,0.0,0.06,0.56,0.21,0.03,0.08,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
38,"[729, 98, 122, 155]",0.04,0.0,0.13,0.22,0.35,0.0,0.26,"[338, 361, 54, 65]",0.19,0.0,0.14,0.05,0.55,0.0,0.08,"[492, 173, 52, 68]",0.06,0.0,0.07,0.43,0.31,0.02,0.12,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
39,"[728, 97, 122, 151]",0.08,0.0,0.12,0.22,0.43,0.0,0.15,"[492, 173, 52, 71]",0.07,0.0,0.06,0.36,0.33,0.03,0.14,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
40,"[730, 101, 119, 149]",0.09,0.0,0.1,0.19,0.35,0.0,0.28,"[493, 177, 52, 69]",0.05,0.0,0.07,0.52,0.22,0.03,0.11,"[340, 367, 53, 63]",0.3,0.0,0.11,0.05,0.44,0.0,0.1,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
41,"[729, 101, 120, 150]",0.07,0.0,0.1,0.26,0.3,0.0,0.27,"[491, 177, 52, 70]",0.04,0.0,0.04,0.66,0.14,0.05,0.07,,,,,,,,,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
42,"[723, 98, 123, 154]",0.08,0.0,0.11,0.22,0.32,0.0,0.26,"[494, 177, 51, 70]",0.07,0.0,0.07,0.42,0.31,0.03,0.1,"[340, 369, 54, 64]",0.16,0.0,0.08,0.07,0.59,0.0,0.09,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
43,"[720, 97, 124, 155]",0.07,0.0,0.09,0.31,0.38,0.0,0.14,"[491, 180, 52, 69]",0.02,0.0,0.04,0.74,0.09,0.04,0.07,"[340, 368, 54, 66]",0.2,0.0,0.11,0.03,0.61,0.0,0.06,video_0014,87,2,50,43,25.0,3.48,2025-01-29T20:03:31.090317
