,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[535, 126, 202, 256]",0.83,0.0,0.03,0.09,0.05,0.0,0.0,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
1,"[527, 126, 193, 244]",0.07,0.0,0.03,0.3,0.42,0.0,0.17,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
2,"[542, 124, 198, 244]",0.16,0.0,0.07,0.64,0.13,0.0,0.0,"[155, 523, 43, 49]",0.08,0.01,0.34,0.07,0.23,0.27,0.01,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
3,"[539, 145, 188, 240]",0.01,0.0,0.02,0.94,0.02,0.0,0.01,"[155, 523, 43, 49]",0.07,0.01,0.31,0.09,0.27,0.24,0.01,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
4,"[535, 143, 189, 235]",0.0,0.0,0.0,0.93,0.02,0.0,0.04,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
5,"[537, 152, 192, 246]",0.89,0.0,0.03,0.05,0.03,0.0,0.0,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
6,"[535, 141, 198, 253]",0.35,0.0,0.16,0.4,0.08,0.01,0.0,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
7,"[526, 151, 204, 268]",0.13,0.0,0.16,0.02,0.67,0.0,0.01,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
8,"[501, 144, 203, 247]",0.51,0.0,0.3,0.08,0.05,0.01,0.05,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
9,"[514, 146, 200, 250]",0.38,0.0,0.26,0.04,0.19,0.0,0.13,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
10,"[468, 163, 202, 254]",0.08,0.0,0.02,0.18,0.21,0.0,0.51,"[154, 522, 44, 50]",0.07,0.01,0.25,0.12,0.35,0.17,0.02,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
11,"[542, 138, 191, 256]",0.02,0.0,0.49,0.01,0.32,0.11,0.06,"[154, 522, 45, 50]",0.09,0.01,0.3,0.12,0.31,0.16,0.02,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
12,"[491, 147, 203, 244]",0.06,0.0,0.1,0.07,0.21,0.0,0.57,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
13,"[463, 167, 199, 258]",0.48,0.02,0.11,0.02,0.31,0.0,0.05,"[163, 525, 36, 42]",0.37,0.04,0.12,0.17,0.19,0.1,0.02,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
14,"[459, 180, 200, 255]",0.04,0.0,0.03,0.91,0.02,0.0,0.01,"[157, 521, 45, 50]",0.13,0.01,0.24,0.26,0.15,0.17,0.04,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
15,"[496, 124, 207, 256]",0.29,0.0,0.14,0.37,0.2,0.0,0.01,"[158, 521, 44, 50]",0.11,0.01,0.23,0.29,0.16,0.16,0.04,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
16,"[492, 113, 203, 247]",0.02,0.0,0.0,0.97,0.0,0.0,0.0,"[158, 521, 43, 50]",0.12,0.01,0.24,0.3,0.16,0.15,0.04,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
17,"[501, 140, 201, 254]",0.2,0.0,0.04,0.72,0.04,0.0,0.01,"[157, 520, 44, 52]",0.08,0.01,0.21,0.37,0.18,0.11,0.03,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
18,"[514, 131, 204, 266]",0.41,0.0,0.26,0.21,0.08,0.04,0.0,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
19,"[512, 125, 203, 257]",0.16,0.0,0.08,0.08,0.3,0.0,0.38,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
20,"[519, 139, 208, 269]",0.64,0.0,0.14,0.07,0.13,0.0,0.01,,,,,,,,,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
21,"[506, 135, 199, 252]",0.18,0.0,0.06,0.61,0.08,0.0,0.06,"[159, 524, 39, 44]",0.25,0.05,0.26,0.12,0.2,0.1,0.02,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
22,"[533, 129, 196, 254]",0.13,0.0,0.09,0.27,0.44,0.0,0.06,"[158, 524, 40, 44]",0.22,0.06,0.26,0.12,0.21,0.12,0.02,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
23,"[539, 129, 198, 255]",0.25,0.01,0.09,0.1,0.54,0.0,0.01,"[158, 523, 40, 46]",0.19,0.01,0.34,0.13,0.18,0.13,0.03,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
24,"[531, 124, 194, 257]",0.13,0.0,0.02,0.84,0.01,0.0,0.0,"[159, 524, 39, 44]",0.22,0.05,0.26,0.13,0.22,0.1,0.02,,,,,,,,,video_0799,499,10,50,49,25.0,19.96,2025-01-29T20:51:10.499689
