,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[422, 188, 209, 254]",0.16,0.0,0.01,0.0,0.03,0.0,0.8,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
1,"[416, 183, 211, 260]",0.07,0.02,0.0,0.01,0.01,0.0,0.89,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
2,"[416, 181, 208, 256]",0.19,0.0,0.08,0.04,0.08,0.0,0.6,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
3,"[414, 182, 202, 263]",0.36,0.0,0.23,0.0,0.27,0.02,0.11,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
4,"[406, 186, 203, 246]",0.03,0.0,0.01,0.0,0.04,0.0,0.92,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
5,"[405, 186, 199, 246]",0.05,0.0,0.03,0.01,0.09,0.0,0.82,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
6,"[395, 183, 203, 244]",0.05,0.0,0.02,0.08,0.06,0.0,0.78,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
7,"[387, 185, 207, 247]",0.07,0.0,0.02,0.14,0.05,0.0,0.71,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
8,"[382, 185, 204, 245]",0.07,0.0,0.02,0.04,0.08,0.02,0.76,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
9,"[374, 185, 209, 249]",0.02,0.0,0.01,0.02,0.06,0.01,0.88,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
10,"[373, 185, 209, 251]",0.06,0.0,0.05,0.02,0.07,0.02,0.77,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
11,"[371, 188, 206, 261]",0.04,0.0,0.1,0.01,0.08,0.17,0.61,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
12,"[360, 189, 213, 254]",0.07,0.0,0.03,0.02,0.09,0.04,0.75,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
13,"[363, 189, 211, 261]",0.07,0.0,0.09,0.01,0.09,0.14,0.59,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
14,"[358, 189, 218, 267]",0.09,0.0,0.24,0.09,0.07,0.1,0.41,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
15,"[366, 191, 220, 270]",0.07,0.0,0.06,0.14,0.07,0.01,0.67,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
16,"[368, 194, 220, 270]",0.09,0.0,0.08,0.08,0.09,0.0,0.65,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
17,"[364, 190, 212, 266]",0.03,0.0,0.03,0.38,0.09,0.0,0.47,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
18,"[364, 186, 213, 265]",0.02,0.0,0.03,0.29,0.06,0.01,0.6,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
19,"[365, 178, 216, 274]",0.15,0.0,0.22,0.22,0.2,0.09,0.12,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
20,"[370, 176, 214, 275]",0.11,0.0,0.25,0.41,0.06,0.14,0.02,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
21,"[370, 175, 215, 278]",0.15,0.0,0.24,0.27,0.12,0.16,0.05,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
22,"[372, 170, 218, 281]",0.16,0.01,0.17,0.29,0.12,0.13,0.11,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
23,"[372, 171, 220, 277]",0.22,0.01,0.13,0.16,0.14,0.16,0.19,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
24,"[378, 173, 216, 275]",0.13,0.01,0.1,0.16,0.17,0.14,0.29,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
25,"[380, 171, 217, 277]",0.13,0.01,0.1,0.11,0.23,0.12,0.3,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
26,"[383, 171, 214, 275]",0.18,0.0,0.25,0.06,0.09,0.27,0.14,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
27,"[378, 165, 221, 277]",0.18,0.0,0.09,0.31,0.17,0.06,0.18,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
28,"[386, 172, 218, 265]",0.07,0.01,0.03,0.24,0.11,0.0,0.53,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
29,"[398, 173, 211, 261]",0.07,0.0,0.03,0.2,0.11,0.04,0.55,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
30,"[397, 171, 224, 271]",0.06,0.0,0.04,0.16,0.05,0.08,0.61,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
31,"[403, 178, 215, 260]",0.23,0.0,0.08,0.01,0.04,0.09,0.56,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
32,"[404, 180, 212, 267]",0.07,0.0,0.04,0.0,0.03,0.06,0.79,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
33,"[402, 179, 212, 271]",0.05,0.0,0.12,0.01,0.04,0.33,0.44,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
34,"[392, 173, 220, 271]",0.07,0.0,0.02,0.01,0.05,0.02,0.84,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
35,"[395, 168, 217, 282]",0.1,0.0,0.28,0.07,0.04,0.44,0.06,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
36,"[397, 171, 210, 271]",0.13,0.0,0.1,0.34,0.06,0.1,0.26,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
37,"[405, 177, 206, 261]",0.13,0.0,0.1,0.28,0.1,0.04,0.35,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
38,"[405, 180, 209, 259]",0.16,0.0,0.03,0.13,0.08,0.01,0.58,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
39,"[403, 182, 213, 261]",0.12,0.0,0.02,0.23,0.03,0.02,0.58,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
40,"[404, 182, 212, 261]",0.16,0.0,0.02,0.13,0.08,0.01,0.6,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
41,"[396, 173, 222, 276]",0.2,0.0,0.15,0.1,0.06,0.34,0.16,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
42,"[401, 174, 216, 271]",0.03,0.0,0.02,0.02,0.02,0.03,0.88,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
43,"[399, 173, 218, 272]",0.03,0.0,0.01,0.03,0.02,0.02,0.89,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
44,"[398, 168, 220, 283]",0.09,0.0,0.22,0.16,0.07,0.3,0.15,video_0049,91,2,50,45,25.0,3.64,2025-01-29T20:05:42.430260
