,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[641, 107, 135, 202]",0.05,0.0,0.05,0.04,0.53,0.01,0.31,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
1,"[669, 90, 141, 217]",0.1,0.0,0.11,0.06,0.3,0.08,0.34,"[146, 108, 46, 56]",0.35,0.01,0.04,0.09,0.25,0.16,0.1,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
2,"[680, 86, 153, 224]",0.07,0.0,0.16,0.06,0.16,0.13,0.43,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
3,"[710, 73, 146, 225]",0.09,0.0,0.12,0.04,0.17,0.04,0.54,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
4,"[717, 78, 148, 225]",0.13,0.0,0.11,0.02,0.18,0.03,0.52,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
5,"[720, 91, 149, 217]",0.03,0.0,0.1,0.01,0.11,0.02,0.74,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
6,"[717, 94, 150, 220]",0.11,0.0,0.18,0.01,0.23,0.02,0.46,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
7,"[708, 98, 158, 223]",0.08,0.0,0.16,0.01,0.32,0.02,0.41,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
8,"[706, 102, 154, 216]",0.1,0.0,0.17,0.03,0.16,0.03,0.51,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
9,"[704, 108, 156, 214]",0.04,0.0,0.09,0.03,0.12,0.02,0.7,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
10,"[703, 110, 157, 214]",0.06,0.0,0.12,0.02,0.16,0.03,0.61,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
11,"[703, 110, 157, 213]",0.08,0.0,0.17,0.03,0.14,0.04,0.55,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
12,"[702, 120, 152, 202]",0.09,0.0,0.05,0.02,0.07,0.01,0.75,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
13,"[701, 114, 155, 209]",0.08,0.0,0.21,0.02,0.17,0.04,0.48,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
14,"[703, 112, 155, 212]",0.21,0.0,0.29,0.01,0.22,0.02,0.25,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
15,"[702, 111, 156, 214]",0.13,0.0,0.17,0.01,0.2,0.02,0.46,,,,,,,,,video_0265,105,3,50,35,23.976023976023978,4.379375,2025-01-29T20:18:53.906369
