,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[826, 141, 146, 184]",0.06,0.0,0.04,0.0,0.21,0.01,0.67,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
1,"[824, 140, 147, 185]",0.05,0.0,0.05,0.01,0.21,0.01,0.67,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
2,"[821, 136, 150, 191]",0.03,0.0,0.03,0.0,0.15,0.01,0.78,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
3,"[823, 136, 147, 189]",0.03,0.0,0.02,0.0,0.14,0.0,0.8,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
4,"[831, 136, 144, 185]",0.03,0.0,0.02,0.01,0.16,0.0,0.78,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
5,"[831, 137, 143, 183]",0.02,0.0,0.02,0.01,0.22,0.0,0.73,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
6,"[830, 137, 142, 183]",0.03,0.0,0.02,0.01,0.2,0.0,0.74,"[1037, 286, 40, 50]",0.12,0.01,0.19,0.35,0.19,0.03,0.12,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
7,"[829, 136, 143, 185]",0.02,0.0,0.02,0.01,0.19,0.0,0.76,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
8,"[830, 137, 142, 184]",0.02,0.0,0.02,0.0,0.16,0.0,0.8,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
9,"[831, 138, 141, 183]",0.02,0.0,0.02,0.0,0.19,0.0,0.76,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
10,"[832, 138, 141, 183]",0.02,0.0,0.01,0.0,0.16,0.0,0.79,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
11,"[822, 134, 147, 189]",0.04,0.0,0.03,0.0,0.2,0.01,0.73,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
12,"[821, 134, 147, 188]",0.03,0.0,0.03,0.0,0.18,0.01,0.76,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
13,"[826, 133, 144, 189]",0.02,0.0,0.02,0.0,0.16,0.0,0.79,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
14,"[820, 137, 147, 186]",0.03,0.0,0.02,0.0,0.17,0.01,0.77,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
15,"[819, 139, 147, 185]",0.03,0.0,0.03,0.0,0.21,0.01,0.71,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
16,"[815, 137, 146, 188]",0.02,0.0,0.03,0.0,0.14,0.01,0.8,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
17,"[818, 140, 147, 186]",0.04,0.0,0.03,0.0,0.19,0.01,0.73,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
18,"[818, 139, 147, 186]",0.04,0.0,0.02,0.0,0.15,0.0,0.79,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
19,"[820, 137, 147, 188]",0.03,0.0,0.02,0.0,0.13,0.01,0.8,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
20,"[821, 141, 147, 188]",0.06,0.0,0.06,0.0,0.17,0.01,0.7,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
21,"[813, 138, 162, 203]",0.03,0.0,0.03,0.01,0.1,0.01,0.82,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
22,"[816, 139, 160, 200]",0.03,0.0,0.05,0.02,0.11,0.02,0.77,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
23,"[1044, 286, 38, 49]",0.08,0.01,0.16,0.48,0.12,0.04,0.11,,,,,,,,,video_0376,56,2,50,28,24.0,2.3333333333333335,2025-01-29T20:25:36.285356
