,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[396, 59, 113, 149]",0.29,0.0,0.25,0.04,0.27,0.01,0.13,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
1,"[389, 60, 122, 154]",0.17,0.01,0.35,0.06,0.21,0.0,0.19,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
2,"[398, 61, 112, 145]",0.12,0.0,0.13,0.05,0.2,0.0,0.5,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
3,"[398, 59, 114, 146]",0.11,0.0,0.09,0.04,0.14,0.0,0.62,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
4,"[399, 60, 113, 147]",0.15,0.0,0.21,0.06,0.19,0.0,0.4,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
5,"[399, 61, 113, 146]",0.17,0.0,0.19,0.03,0.2,0.0,0.41,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
6,"[400, 63, 112, 144]",0.23,0.0,0.18,0.05,0.25,0.01,0.28,"[187, 380, 24, 26]",0.14,0.0,0.18,0.21,0.33,0.0,0.14,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
7,"[400, 62, 112, 145]",0.21,0.0,0.24,0.03,0.26,0.01,0.25,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
8,"[401, 68, 111, 138]",0.3,0.0,0.17,0.01,0.39,0.0,0.14,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
9,"[399, 66, 113, 140]",0.25,0.0,0.1,0.02,0.45,0.0,0.19,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
10,"[400, 65, 112, 141]",0.25,0.0,0.13,0.03,0.29,0.0,0.29,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
11,"[398, 59, 114, 148]",0.21,0.0,0.11,0.01,0.27,0.0,0.39,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
12,"[398, 60, 114, 148]",0.24,0.0,0.15,0.03,0.24,0.0,0.34,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
13,"[397, 59, 115, 148]",0.18,0.0,0.11,0.02,0.2,0.0,0.49,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
14,"[398, 59, 114, 147]",0.15,0.0,0.18,0.01,0.3,0.0,0.36,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
15,"[399, 66, 111, 139]",0.17,0.0,0.13,0.01,0.37,0.0,0.32,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
16,"[398, 58, 114, 148]",0.13,0.0,0.1,0.01,0.23,0.0,0.53,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
17,"[400, 60, 112, 145]",0.14,0.0,0.1,0.01,0.13,0.0,0.61,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
18,"[398, 60, 113, 146]",0.1,0.0,0.08,0.03,0.08,0.0,0.7,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
19,"[399, 60, 112, 146]",0.1,0.0,0.09,0.02,0.11,0.0,0.67,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
20,"[397, 59, 114, 148]",0.11,0.0,0.13,0.03,0.13,0.0,0.59,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
21,"[397, 60, 114, 146]",0.1,0.0,0.09,0.03,0.1,0.0,0.68,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
22,"[396, 59, 115, 147]",0.09,0.0,0.12,0.06,0.11,0.0,0.61,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
23,"[396, 59, 114, 148]",0.08,0.0,0.16,0.07,0.15,0.0,0.54,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
24,"[397, 59, 113, 148]",0.11,0.0,0.18,0.08,0.14,0.01,0.49,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
25,"[395, 59, 115, 149]",0.08,0.0,0.3,0.17,0.15,0.02,0.28,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
26,"[398, 59, 113, 147]",0.08,0.0,0.08,0.03,0.1,0.0,0.7,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
27,"[400, 60, 111, 145]",0.1,0.0,0.13,0.02,0.13,0.01,0.61,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
28,"[399, 60, 112, 145]",0.11,0.0,0.13,0.02,0.13,0.0,0.6,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
29,"[399, 61, 112, 145]",0.09,0.0,0.12,0.03,0.15,0.01,0.6,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
30,"[398, 61, 113, 145]",0.08,0.0,0.16,0.03,0.12,0.01,0.6,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
31,"[400, 60, 112, 145]",0.14,0.0,0.1,0.02,0.13,0.0,0.61,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
32,"[400, 60, 112, 146]",0.11,0.0,0.18,0.05,0.18,0.01,0.46,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
33,"[400, 60, 112, 145]",0.13,0.0,0.13,0.03,0.12,0.01,0.58,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
34,"[398, 60, 111, 146]",0.1,0.0,0.26,0.04,0.2,0.01,0.38,,,,,,,,,video_0835,70,2,50,35,23.976023976023978,2.919583333333333,2025-01-29T20:53:40.910036
