,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[405, 155, 129, 159]",0.19,0.0,0.02,0.04,0.54,0.0,0.21,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
1,"[403, 160, 127, 157]",0.16,0.0,0.04,0.05,0.55,0.0,0.2,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
2,"[412, 160, 129, 158]",0.23,0.0,0.04,0.06,0.58,0.0,0.09,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
3,"[422, 166, 128, 154]",0.16,0.0,0.04,0.13,0.48,0.0,0.19,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
4,"[433, 171, 128, 157]",0.29,0.0,0.06,0.21,0.34,0.01,0.09,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
5,"[451, 168, 123, 148]",0.13,0.0,0.05,0.12,0.56,0.0,0.13,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
6,"[471, 165, 123, 149]",0.16,0.0,0.06,0.17,0.5,0.0,0.1,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
7,"[494, 167, 126, 158]",0.16,0.0,0.06,0.37,0.27,0.01,0.12,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
8,"[517, 170, 119, 144]",0.11,0.0,0.07,0.05,0.63,0.0,0.13,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
9,"[530, 165, 125, 153]",0.14,0.0,0.05,0.06,0.55,0.0,0.2,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
10,"[547, 164, 123, 158]",0.18,0.0,0.05,0.03,0.59,0.0,0.14,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
11,"[561, 172, 116, 145]",0.33,0.0,0.06,0.08,0.39,0.01,0.15,,,,,,,,,video_0527,91,2,50,45,24.0,3.7916666666666665,2025-01-29T20:34:42.596728
