,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[638, 240, 226, 276]",0.04,0.0,0.24,0.0,0.6,0.0,0.11,,,,,,,,,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
1,"[642, 239, 228, 277]",0.16,0.0,0.32,0.0,0.37,0.0,0.15,,,,,,,,,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
2,"[640, 243, 232, 273]",0.09,0.0,0.25,0.0,0.37,0.0,0.28,,,,,,,,,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
3,"[641, 242, 232, 272]",0.1,0.0,0.18,0.0,0.35,0.0,0.37,"[1819, 383, 33, 38]",0.2,0.0,0.07,0.17,0.52,0.0,0.04,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
4,"[646, 241, 225, 278]",0.09,0.0,0.11,0.0,0.31,0.0,0.49,"[1819, 382, 34, 40]",0.17,0.0,0.06,0.14,0.6,0.0,0.02,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
5,"[643, 243, 230, 274]",0.05,0.0,0.18,0.0,0.35,0.0,0.43,"[1819, 383, 33, 39]",0.24,0.0,0.07,0.09,0.58,0.0,0.02,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
6,"[641, 243, 231, 278]",0.19,0.0,0.16,0.0,0.36,0.0,0.29,"[1819, 381, 35, 40]",0.18,0.01,0.06,0.09,0.64,0.0,0.02,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
7,"[641, 248, 229, 280]",0.15,0.0,0.18,0.0,0.47,0.0,0.19,"[1819, 382, 34, 40]",0.2,0.0,0.07,0.2,0.51,0.0,0.02,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
8,"[642, 250, 227, 278]",0.09,0.0,0.15,0.0,0.56,0.0,0.19,"[1819, 383, 33, 39]",0.27,0.0,0.07,0.11,0.53,0.0,0.02,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
9,"[641, 248, 229, 273]",0.08,0.0,0.09,0.0,0.41,0.0,0.42,"[812, 33, 24, 28]",0.12,0.0,0.1,0.25,0.25,0.0,0.28,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
10,"[642, 247, 233, 278]",0.18,0.0,0.03,0.01,0.11,0.0,0.66,"[812, 32, 24, 27]",0.14,0.0,0.19,0.13,0.32,0.01,0.21,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
11,"[644, 247, 228, 277]",0.29,0.0,0.08,0.01,0.11,0.0,0.51,"[1737, 405, 38, 46]",0.32,0.0,0.18,0.08,0.36,0.01,0.05,"[811, 31, 25, 30]",0.16,0.0,0.11,0.16,0.28,0.0,0.29,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
12,"[660, 253, 226, 268]",0.24,0.0,0.11,0.02,0.26,0.0,0.38,"[1736, 405, 39, 48]",0.32,0.0,0.14,0.04,0.43,0.01,0.06,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
13,"[642, 238, 235, 282]",0.61,0.0,0.12,0.01,0.12,0.01,0.13,"[1820, 382, 33, 41]",0.19,0.0,0.06,0.12,0.6,0.0,0.03,"[811, 33, 25, 29]",0.14,0.0,0.07,0.2,0.22,0.0,0.38,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
14,"[645, 241, 229, 279]",0.12,0.0,0.1,0.01,0.08,0.01,0.69,,,,,,,,,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
15,"[646, 243, 233, 285]",0.28,0.0,0.12,0.02,0.1,0.07,0.42,"[811, 33, 25, 29]",0.16,0.0,0.08,0.15,0.29,0.0,0.32,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
16,"[658, 250, 225, 280]",0.35,0.0,0.12,0.02,0.09,0.01,0.41,"[812, 33, 24, 29]",0.15,0.0,0.07,0.25,0.28,0.0,0.25,,,,,,,,,video_0000,142,3,50,47,25.0,5.68,2025-01-29T20:02:45.048664
