,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[719, 110, 121, 151]",0.08,0.0,0.03,0.05,0.12,0.0,0.72,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
1,"[718, 111, 123, 154]",0.07,0.0,0.06,0.03,0.16,0.01,0.69,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
2,"[714, 112, 126, 152]",0.11,0.0,0.16,0.02,0.22,0.04,0.45,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
3,"[713, 110, 128, 154]",0.08,0.0,0.09,0.05,0.09,0.04,0.66,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
4,"[714, 110, 123, 149]",0.09,0.0,0.11,0.04,0.09,0.02,0.64,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
5,"[717, 104, 120, 147]",0.07,0.0,0.03,0.02,0.09,0.01,0.79,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
6,"[713, 107, 126, 152]",0.13,0.0,0.16,0.02,0.12,0.03,0.54,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
7,"[708, 109, 114, 143]",0.03,0.0,0.01,0.02,0.03,0.0,0.91,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
8,"[705, 108, 116, 144]",0.06,0.0,0.01,0.08,0.06,0.0,0.78,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
9,"[707, 105, 126, 153]",0.08,0.0,0.09,0.16,0.14,0.02,0.51,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
10,"[707, 110, 117, 149]",0.08,0.0,0.09,0.14,0.14,0.01,0.54,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
11,"[705, 112, 118, 151]",0.06,0.0,0.07,0.12,0.1,0.01,0.63,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
12,"[709, 107, 124, 152]",0.13,0.0,0.17,0.08,0.21,0.07,0.33,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
13,"[708, 106, 117, 147]",0.06,0.0,0.06,0.05,0.11,0.01,0.71,video_0221,304,7,50,43,23.976023976023978,12.679333333333332,2025-01-29T20:16:16.272205
