,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[295, 281, 273, 413]",0.11,0.0,0.08,0.11,0.64,0.02,0.04,,,,,,,,,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
1,"[684, 216, 197, 279]",0.07,0.0,0.01,0.9,0.01,0.01,0.01,"[406, 317, 80, 96]",0.26,0.01,0.04,0.2,0.44,0.03,0.02,"[103, 429, 55, 66]",0.39,0.01,0.04,0.06,0.38,0.09,0.03,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
2,"[103, 429, 52, 62]",0.53,0.02,0.03,0.07,0.23,0.1,0.03,,,,,,,,,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
3,"[702, 286, 215, 292]",0.03,0.0,0.0,0.93,0.01,0.01,0.01,"[102, 425, 54, 66]",0.44,0.02,0.03,0.07,0.3,0.11,0.03,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
4,"[705, 296, 219, 288]",0.05,0.0,0.01,0.91,0.01,0.02,0.01,"[102, 425, 51, 65]",0.52,0.01,0.03,0.05,0.28,0.09,0.02,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
5,"[714, 300, 211, 273]",0.07,0.0,0.01,0.86,0.02,0.02,0.01,"[102, 425, 50, 62]",0.51,0.01,0.03,0.05,0.29,0.08,0.03,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
6,"[720, 249, 204, 281]",0.35,0.0,0.09,0.4,0.1,0.04,0.02,"[96, 418, 54, 69]",0.52,0.01,0.02,0.05,0.31,0.06,0.03,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
7,"[93, 415, 55, 68]",0.57,0.01,0.03,0.06,0.25,0.07,0.02,,,,,,,,,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
8,"[637, 118, 209, 274]",0.07,0.0,0.01,0.79,0.07,0.01,0.05,,,,,,,,,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
9,"[92, 415, 56, 68]",0.55,0.01,0.03,0.04,0.29,0.07,0.02,"[439, 547, 55, 67]",0.64,0.01,0.02,0.07,0.14,0.09,0.03,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
10,"[598, 105, 226, 300]",0.2,0.0,0.04,0.49,0.17,0.05,0.04,"[93, 415, 56, 68]",0.54,0.01,0.03,0.04,0.3,0.06,0.02,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
11,"[606, 120, 192, 250]",0.44,0.01,0.06,0.16,0.2,0.1,0.04,"[317, 646, 59, 70]",0.28,0.0,0.04,0.05,0.55,0.06,0.02,"[93, 415, 56, 69]",0.54,0.01,0.03,0.03,0.32,0.05,0.02,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
12,"[93, 415, 56, 68]",0.57,0.01,0.03,0.04,0.29,0.06,0.02,,,,,,,,,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
13,"[594, 123, 104, 125]",0.52,0.0,0.05,0.02,0.32,0.06,0.02,"[94, 415, 55, 68]",0.53,0.01,0.03,0.04,0.31,0.06,0.02,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
14,"[94, 415, 55, 68]",0.52,0.01,0.03,0.04,0.33,0.05,0.02,,,,,,,,,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
15,"[94, 415, 55, 68]",0.51,0.01,0.03,0.04,0.34,0.06,0.02,,,,,,,,,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
16,"[247, 599, 98, 124]",0.2,0.0,0.04,0.25,0.49,0.01,0.02,"[94, 414, 55, 69]",0.56,0.01,0.03,0.04,0.29,0.06,0.02,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
17,"[588, 97, 201, 250]",0.1,0.0,0.02,0.67,0.11,0.03,0.07,"[252, 608, 92, 110]",0.23,0.0,0.03,0.27,0.45,0.0,0.02,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
18,"[557, 87, 235, 305]",0.09,0.0,0.03,0.46,0.18,0.08,0.16,"[319, 429, 48, 52]",0.36,0.05,0.02,0.06,0.44,0.05,0.01,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
19,"[78, 485, 166, 193]",0.29,0.0,0.06,0.07,0.56,0.0,0.02,"[95, 409, 60, 72]",0.57,0.0,0.03,0.04,0.28,0.06,0.02,,,,,,,,,video_0869,48,2,40,24,23.976,2.002002002002002,2025-01-29T20:55:31.304254
