,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[545, 129, 209, 280]",0.02,0.0,0.45,0.03,0.02,0.27,0.21,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
1,"[552, 130, 209, 279]",0.04,0.0,0.56,0.03,0.02,0.27,0.08,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
2,"[552, 124, 210, 289]",0.02,0.0,0.1,0.14,0.01,0.71,0.02,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
3,"[559, 119, 212, 288]",0.03,0.0,0.1,0.43,0.01,0.39,0.03,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
4,"[572, 136, 204, 263]",0.04,0.0,0.04,0.65,0.0,0.26,0.01,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
5,"[574, 138, 205, 261]",0.11,0.0,0.06,0.7,0.01,0.07,0.06,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
6,"[577, 137, 197, 268]",0.01,0.0,0.01,0.96,0.0,0.03,0.0,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
7,"[578, 139, 198, 268]",0.01,0.0,0.0,0.95,0.0,0.03,0.0,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
8,"[577, 140, 197, 259]",0.07,0.0,0.2,0.62,0.0,0.03,0.08,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
9,"[576, 139, 197, 264]",0.04,0.0,0.1,0.71,0.0,0.12,0.02,"[488, 80, 134, 164]",0.08,0.0,0.17,0.24,0.33,0.13,0.05,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
10,"[576, 140, 198, 267]",0.07,0.0,0.06,0.69,0.0,0.16,0.01,"[452, 306, 48, 63]",0.22,0.01,0.16,0.05,0.41,0.01,0.15,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
11,"[575, 140, 197, 267]",0.06,0.0,0.08,0.79,0.0,0.05,0.02,"[474, 62, 168, 198]",0.15,0.0,0.1,0.4,0.27,0.04,0.03,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
12,"[573, 144, 197, 264]",0.43,0.0,0.24,0.11,0.01,0.1,0.11,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
13,"[556, 123, 221, 287]",0.0,0.0,0.01,0.0,0.0,0.98,0.0,"[447, 304, 54, 63]",0.11,0.01,0.15,0.09,0.52,0.01,0.13,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
14,"[450, 305, 46, 52]",0.06,0.0,0.14,0.03,0.52,0.02,0.22,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
15,"[545, 123, 217, 282]",0.04,0.0,0.34,0.0,0.01,0.57,0.04,"[453, 311, 32, 38]",0.04,0.0,0.07,0.07,0.56,0.01,0.25,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
16,"[545, 125, 202, 282]",0.04,0.0,0.28,0.2,0.01,0.41,0.05,"[452, 311, 32, 39]",0.08,0.0,0.15,0.08,0.49,0.01,0.19,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
17,"[547, 124, 200, 281]",0.13,0.0,0.25,0.5,0.0,0.11,0.0,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
18,"[546, 126, 193, 273]",0.14,0.0,0.3,0.35,0.01,0.19,0.01,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
19,"[547, 129, 199, 280]",0.05,0.0,0.3,0.06,0.0,0.57,0.01,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
20,"[548, 131, 193, 260]",0.01,0.0,0.28,0.0,0.0,0.68,0.03,"[445, 611, 19, 21]",0.08,0.0,0.26,0.04,0.57,0.01,0.03,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
21,"[545, 127, 196, 266]",0.01,0.0,0.07,0.0,0.0,0.87,0.05,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
22,"[545, 130, 195, 274]",0.0,0.0,0.22,0.0,0.0,0.77,0.01,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
23,"[536, 129, 199, 296]",0.19,0.0,0.58,0.13,0.0,0.1,0.0,,,,,,,,,video_0760,87,2,50,43,25.0,3.48,2025-01-29T20:48:49.239443
