,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[476, 179, 259, 315]",0.15,0.0,0.1,0.0,0.68,0.0,0.06,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
1,"[453, 166, 260, 316]",0.05,0.0,0.01,0.0,0.14,0.01,0.78,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
2,"[449, 163, 266, 326]",0.06,0.0,0.03,0.0,0.19,0.03,0.68,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
3,"[449, 163, 265, 327]",0.07,0.0,0.03,0.0,0.22,0.04,0.64,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
4,"[449, 164, 264, 325]",0.09,0.0,0.04,0.0,0.26,0.04,0.56,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
5,"[450, 165, 263, 324]",0.11,0.0,0.03,0.0,0.25,0.05,0.56,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
6,"[451, 161, 265, 328]",0.07,0.0,0.03,0.0,0.19,0.02,0.69,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
7,"[451, 163, 264, 328]",0.07,0.0,0.04,0.0,0.24,0.05,0.61,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
8,"[448, 160, 267, 333]",0.06,0.0,0.04,0.0,0.21,0.03,0.66,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
9,"[448, 159, 268, 334]",0.04,0.0,0.03,0.0,0.13,0.02,0.79,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
10,"[451, 163, 263, 327]",0.08,0.0,0.03,0.0,0.28,0.03,0.57,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
11,"[449, 158, 268, 335]",0.08,0.0,0.05,0.0,0.23,0.02,0.61,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
12,"[448, 155, 270, 340]",0.06,0.0,0.04,0.0,0.12,0.03,0.74,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
13,"[442, 152, 273, 344]",0.09,0.0,0.04,0.0,0.23,0.03,0.61,video_0781,145,3,50,48,30.0,4.833333333333333,2025-01-29T20:50:06.076995
