,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[439, 187, 179, 213]",0.05,0.0,0.02,0.0,0.86,0.0,0.08,"[381, 626, 23, 29]",0.51,0.01,0.16,0.11,0.17,0.01,0.03,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
1,"[443, 181, 180, 216]",0.11,0.0,0.04,0.01,0.79,0.0,0.06,"[440, 609, 20, 26]",0.13,0.0,0.04,0.58,0.19,0.01,0.06,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
2,"[445, 185, 154, 185]",0.78,0.0,0.03,0.01,0.13,0.0,0.05,"[439, 604, 22, 28]",0.21,0.0,0.04,0.56,0.14,0.01,0.04,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
3,"[445, 155, 180, 212]",0.08,0.0,0.06,0.01,0.81,0.0,0.03,"[399, 597, 17, 21]",0.25,0.0,0.06,0.21,0.41,0.0,0.07,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
4,"[449, 151, 182, 221]",0.09,0.0,0.07,0.02,0.62,0.0,0.19,"[387, 615, 24, 30]",0.47,0.01,0.18,0.09,0.2,0.01,0.04,"[444, 595, 21, 27]",0.13,0.0,0.03,0.63,0.13,0.0,0.06,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
5,"[454, 148, 193, 232]",0.03,0.0,0.02,0.01,0.78,0.0,0.16,"[447, 597, 21, 28]",0.09,0.0,0.02,0.68,0.13,0.0,0.08,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
6,"[453, 158, 176, 200]",0.11,0.01,0.05,0.01,0.73,0.0,0.1,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
7,"[445, 160, 175, 197]",0.25,0.02,0.11,0.01,0.57,0.0,0.04,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
8,"[430, 149, 189, 220]",0.13,0.01,0.19,0.01,0.63,0.0,0.02,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
9,"[435, 156, 181, 208]",0.25,0.02,0.29,0.0,0.43,0.01,0.01,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
10,"[435, 156, 185, 217]",0.04,0.04,0.02,0.0,0.81,0.0,0.08,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
11,"[428, 164, 189, 226]",0.02,0.0,0.01,0.0,0.8,0.0,0.15,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
12,"[427, 166, 187, 225]",0.07,0.0,0.04,0.02,0.75,0.0,0.12,"[396, 601, 18, 21]",0.27,0.0,0.04,0.24,0.38,0.0,0.06,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
13,"[428, 163, 189, 217]",0.05,0.0,0.03,0.02,0.79,0.0,0.1,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
14,"[428, 160, 187, 223]",0.01,0.0,0.03,0.01,0.88,0.0,0.06,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
15,"[429, 166, 182, 217]",0.02,0.01,0.02,0.0,0.68,0.0,0.28,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
16,"[435, 179, 185, 222]",0.01,0.0,0.06,0.02,0.82,0.0,0.09,"[430, 604, 22, 27]",0.18,0.0,0.02,0.72,0.05,0.0,0.02,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
17,"[430, 173, 187, 227]",0.04,0.01,0.06,0.02,0.6,0.01,0.26,"[430, 605, 22, 27]",0.12,0.0,0.04,0.65,0.16,0.0,0.03,"[387, 606, 17, 20]",0.28,0.0,0.03,0.32,0.33,0.0,0.05,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
18,"[427, 166, 192, 233]",0.03,0.0,0.04,0.02,0.49,0.0,0.42,"[432, 605, 20, 25]",0.32,0.0,0.03,0.54,0.09,0.0,0.02,"[386, 603, 17, 21]",0.31,0.0,0.06,0.32,0.28,0.0,0.04,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
19,"[425, 160, 189, 234]",0.04,0.0,0.03,0.03,0.7,0.0,0.19,"[387, 600, 18, 21]",0.26,0.0,0.05,0.26,0.39,0.0,0.03,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
20,"[433, 165, 190, 231]",0.02,0.0,0.02,0.02,0.85,0.0,0.09,"[434, 602, 20, 25]",0.14,0.0,0.03,0.67,0.13,0.0,0.03,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
21,"[433, 174, 189, 226]",0.02,0.0,0.02,0.01,0.74,0.0,0.2,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
22,"[429, 179, 187, 221]",0.03,0.01,0.05,0.02,0.81,0.0,0.09,"[389, 602, 18, 23]",0.2,0.0,0.04,0.35,0.37,0.0,0.03,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
23,"[432, 175, 184, 220]",0.03,0.01,0.03,0.01,0.88,0.0,0.04,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
24,"[437, 174, 182, 216]",0.02,0.0,0.02,0.0,0.92,0.0,0.04,"[433, 599, 22, 27]",0.28,0.0,0.04,0.52,0.11,0.0,0.04,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
25,"[442, 177, 182, 212]",0.02,0.0,0.02,0.01,0.89,0.0,0.06,,,,,,,,,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
26,"[440, 179, 186, 217]",0.04,0.0,0.03,0.01,0.8,0.0,0.11,"[440, 602, 19, 24]",0.2,0.0,0.05,0.4,0.26,0.0,0.08,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
27,"[446, 180, 178, 211]",0.06,0.0,0.04,0.01,0.78,0.0,0.11,"[440, 601, 20, 26]",0.35,0.0,0.06,0.39,0.12,0.01,0.08,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
28,"[447, 179, 180, 215]",0.02,0.0,0.02,0.03,0.82,0.0,0.09,"[441, 599, 20, 25]",0.15,0.0,0.06,0.52,0.21,0.0,0.07,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
29,"[445, 177, 180, 216]",0.06,0.0,0.03,0.04,0.72,0.01,0.12,"[439, 597, 23, 29]",0.17,0.0,0.05,0.45,0.19,0.0,0.13,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
30,"[447, 179, 181, 217]",0.07,0.0,0.03,0.05,0.65,0.01,0.18,"[444, 601, 20, 26]",0.22,0.0,0.04,0.54,0.11,0.0,0.08,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
31,"[448, 176, 182, 217]",0.03,0.0,0.03,0.02,0.83,0.0,0.08,"[445, 601, 20, 25]",0.25,0.0,0.04,0.54,0.1,0.0,0.06,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
32,"[442, 164, 186, 224]",0.05,0.0,0.02,0.01,0.69,0.0,0.23,"[399, 598, 18, 21]",0.23,0.0,0.06,0.28,0.36,0.0,0.06,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
33,"[449, 163, 190, 234]",0.05,0.0,0.01,0.03,0.86,0.0,0.05,"[399, 596, 19, 23]",0.14,0.0,0.06,0.35,0.39,0.0,0.06,,,,,,,,,video_0331,79,2,50,39,29.97,2.6359693026359694,2025-01-29T20:22:36.197104
