,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[586, 180, 113, 140]",0.06,0.01,0.19,0.0,0.4,0.0,0.35,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
1,"[592, 177, 115, 141]",0.02,0.0,0.06,0.0,0.45,0.0,0.47,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
2,"[596, 174, 107, 134]",0.01,0.0,0.03,0.0,0.0,0.95,0.0,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
3,"[597, 165, 113, 141]",0.01,0.0,0.04,0.01,0.01,0.92,0.02,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
4,"[597, 180, 115, 136]",0.03,0.0,0.04,0.02,0.05,0.65,0.21,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
5,"[608, 179, 105, 128]",0.0,0.0,0.0,0.0,0.0,0.99,0.0,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
6,"[593, 167, 117, 147]",0.03,0.0,0.03,0.0,0.02,0.87,0.05,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
7,"[601, 164, 116, 136]",0.01,0.0,0.01,0.09,0.03,0.3,0.56,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
8,"[603, 173, 117, 148]",0.04,0.0,0.2,0.01,0.05,0.61,0.09,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
9,"[600, 173, 117, 138]",0.04,0.0,0.04,0.0,0.16,0.48,0.28,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
10,"[596, 173, 113, 139]",0.01,0.0,0.01,0.0,0.02,0.91,0.06,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
11,"[600, 176, 116, 144]",0.05,0.0,0.03,0.05,0.08,0.49,0.3,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
12,"[583, 179, 112, 138]",0.13,0.0,0.2,0.0,0.18,0.17,0.32,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
13,"[611, 188, 115, 142]",0.21,0.0,0.06,0.13,0.01,0.58,0.01,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
14,"[595, 174, 115, 142]",0.01,0.0,0.01,0.0,0.01,0.96,0.01,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
15,"[600, 167, 112, 137]",0.02,0.0,0.03,0.01,0.02,0.82,0.1,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
16,"[602, 172, 105, 134]",0.0,0.0,0.02,0.0,0.01,0.92,0.04,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
17,"[592, 148, 112, 140]",0.1,0.0,0.04,0.0,0.0,0.86,0.0,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
18,"[598, 157, 102, 128]",0.0,0.0,0.03,0.01,0.0,0.96,0.0,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
19,"[601, 190, 116, 145]",0.0,0.0,0.03,0.0,0.0,0.96,0.0,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
20,"[590, 174, 117, 143]",0.01,0.0,0.04,0.01,0.11,0.23,0.59,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
21,"[573, 175, 114, 150]",0.1,0.0,0.06,0.05,0.22,0.21,0.36,video_0807,600,12,50,50,29.97002997002997,20.02,2025-01-29T20:51:38.580461
