,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[572, 91, 153, 212]",0.18,0.0,0.17,0.09,0.1,0.02,0.43,"[837, 50, 97, 151]",0.19,0.01,0.12,0.19,0.42,0.01,0.07,,,,,,,,,,,,,,,,,video_0427,252,6,50,42,30.089432479870727,8.375033333333333,2025-01-29T20:28:50.159839
1,"[455, 66, 157, 205]",0.53,0.05,0.19,0.02,0.22,0.0,0.0,"[841, 49, 96, 151]",0.28,0.01,0.19,0.1,0.31,0.04,0.06,,,,,,,,,,,,,,,,,video_0427,252,6,50,42,30.089432479870727,8.375033333333333,2025-01-29T20:28:50.159839
2,"[472, 67, 164, 218]",0.61,0.01,0.31,0.0,0.07,0.0,0.0,"[844, 49, 96, 151]",0.32,0.01,0.16,0.14,0.27,0.04,0.05,,,,,,,,,,,,,,,,,video_0427,252,6,50,42,30.089432479870727,8.375033333333333,2025-01-29T20:28:50.159839
3,"[508, 76, 158, 202]",0.2,0.0,0.15,0.29,0.33,0.0,0.03,"[845, 48, 98, 149]",0.2,0.03,0.2,0.05,0.43,0.06,0.04,"[-9, 281, 23, 31]",0.61,0.02,0.09,0.04,0.16,0.05,0.03,,,,,,,,,video_0427,252,6,50,42,30.089432479870727,8.375033333333333,2025-01-29T20:28:50.159839
4,"[550, 75, 158, 205]",0.5,0.01,0.36,0.0,0.11,0.03,0.0,"[846, 47, 98, 152]",0.3,0.02,0.21,0.05,0.33,0.04,0.05,,,,,,,,,,,,,,,,,video_0427,252,6,50,42,30.089432479870727,8.375033333333333,2025-01-29T20:28:50.159839
5,"[564, 67, 154, 200]",0.73,0.07,0.14,0.0,0.05,0.0,0.0,"[844, 49, 93, 148]",0.15,0.03,0.16,0.07,0.51,0.01,0.07,,,,,,,,,,,,,,,,,video_0427,252,6,50,42,30.089432479870727,8.375033333333333,2025-01-29T20:28:50.159839
6,"[562, 68, 167, 208]",0.22,0.01,0.48,0.0,0.26,0.0,0.03,"[847, 47, 97, 151]",0.3,0.02,0.2,0.07,0.32,0.06,0.03,"[361, 471, 68, 79]",0.07,0.0,0.09,0.09,0.43,0.03,0.29,,,,,,,,,video_0427,252,6,50,42,30.089432479870727,8.375033333333333,2025-01-29T20:28:50.159839
7,"[564, 87, 160, 210]",0.22,0.0,0.48,0.0,0.16,0.02,0.11,"[846, 47, 99, 152]",0.32,0.02,0.16,0.11,0.32,0.03,0.04,,,,,,,,,,,,,,,,,video_0427,252,6,50,42,30.089432479870727,8.375033333333333,2025-01-29T20:28:50.159839
8,"[571, 83, 151, 205]",0.11,0.0,0.41,0.0,0.4,0.0,0.08,"[846, 47, 98, 152]",0.32,0.02,0.2,0.06,0.34,0.03,0.04,"[-7, 280, 22, 30]",0.7,0.05,0.05,0.04,0.1,0.04,0.02,,,,,,,,,video_0427,252,6,50,42,30.089432479870727,8.375033333333333,2025-01-29T20:28:50.159839
9,"[569, 74, 157, 219]",0.28,0.0,0.32,0.0,0.18,0.02,0.19,"[847, 48, 96, 150]",0.3,0.03,0.19,0.08,0.33,0.04,0.04,"[-7, 281, 22, 30]",0.65,0.03,0.06,0.05,0.13,0.06,0.02,,,,,,,,,video_0427,252,6,50,42,30.089432479870727,8.375033333333333,2025-01-29T20:28:50.159839
