,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
0,"[445, 118, 88, 118]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,"[569, 302, 42, 46]",0.38,0.0,0.03,0.04,0.49,0.0,0.07,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
1,"[436, 117, 90, 122]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,"[569, 302, 43, 47]",0.36,0.0,0.03,0.04,0.46,0.0,0.1,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
2,"[436, 117, 91, 128]",0.01,0.0,0.0,0.97,0.01,0.0,0.01,"[569, 302, 44, 47]",0.44,0.0,0.04,0.05,0.4,0.0,0.07,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
3,"[288, 159, 259, 315]",0.06,0.0,0.06,0.05,0.54,0.0,0.28,"[447, 121, 86, 119]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,"[569, 303, 42, 46]",0.52,0.0,0.04,0.04,0.36,0.0,0.04,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
4,"[453, 129, 82, 111]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,,,,,,,,,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
5,"[295, 175, 243, 295]",0.02,0.0,0.02,0.1,0.44,0.0,0.41,"[455, 132, 82, 112]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
6,"[449, 132, 91, 120]",0.0,0.0,0.0,0.99,0.01,0.0,0.0,,,,,,,,,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
7,"[460, 139, 83, 111]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
8,"[462, 138, 86, 112]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
9,"[452, 131, 92, 127]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
10,"[453, 132, 92, 125]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
11,"[468, 145, 82, 106]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
12,"[452, 133, 92, 124]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
13,"[297, 171, 246, 302]",0.03,0.0,0.02,0.07,0.5,0.0,0.38,"[464, 142, 83, 108]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,video_0109,62,2,50,31,25.0,2.48,2025-01-29T20:09:10.164812
